T_UPDATE;FLIGHT_ID;SFPL_ID;CALLSIGN;REGISTRATION;OPERATOR;TYPE_OF_TRANSPONDER;SSR;FLIGHT_RULES;FLIGHT_TYPE;T0;ICAO_ACTYPE;WTC;ADEP;DEST;TAS;RFL;NFL;XFL;CFMU_DELAY;CONTROL;STATUS;FPOS_TRACK_ID
21-7-2020 04:05:13;21010732;987;TRA97P;PHHZI;TRA;L;1116;I;OUTBOUND;21-7-2020 00:00:01;B738;M;EHAM;LEPA;448;390;;260;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 04:05:14;21010733;988;KLM888;PHBHG;KLM;L;1679;I;INBOUND;21-7-2020 00:05:01;B789;H;VTBS;EHAM;490;360;260;;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 04:50:13;21010734;989;TRA55B;PHHSM;TRA;L;1642;I;OUTBOUND;21-7-2020 00:25:00;B738;M;EHAM;LGAV;444;370;;250;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 04:50:13;21010735;990;TRA509B;PHHXJ;TRA;L;1626;I;OUTBOUND;21-7-2020 00:30:00;B738;M;EHAM;LGZA;441;370;;250;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 04:50:13;21010736;991;TRA96N;PHHXM;TRA;L;127;I;OUTBOUND;21-7-2020 00:35:01;B738;M;EHAM;LGSR;442;370;;250;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:35:19;21010737;992;UAL2768;N2747U;UAL;L;3245;I;INBOUND;21-7-2020 00:38:04;B77W;H;KSFO;EHAM;482;350;250;;0;;OBSERVED,CONTROLLED;0
21-7-2020 03:20:14;21010738;993;ZXP06;PHPXF;ZXP;S;;V;TERRAIN;21-7-2020 00:41:07;EC35;L;EHAM;EHAM;110;0;;;0;;;0
21-7-2020 05:20:14;21010739;994;ICE751;TFFIH;ICE;L;3663;I;TRANSIT;21-7-2020 00:43:01;B752;M;EBLG;BIKF;452;360;240;250;0;;OBSERVED,CONTROLLED;0
21-7-2020 04:50:13;21010740;995;KLM876;PHBHF;KLM;L;512;I;INBOUND;21-7-2020 00:46:01;B789;H;VTBS;EHAM;491;280;260;;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 04:50:13;21010741;996;DAL46;N824NW;DAL;L;3242;I;INBOUND;21-7-2020 00:50:40;A333;H;KJFK;EHAM;470;390;250;;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:20:15;21010742;997;KLM836;PHBVI;KLM;L;512;I;INBOUND;21-7-2020 00:51:36;B77W;H;WSSS;EHAM;482;300;260;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:20:14;21010743;998;CSN5203;B2075;CSN;L;1865;I;INBOUND;21-7-2020 00:52:54;B77L;H;ZSPD;EHAM;483;276;260;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:20:14;21010744;999;TFL291;PHTFA;TFL;L;126;I;OUTBOUND;21-7-2020 01:00:00;B738;M;EHAM;LGKR;446;370;;250;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:20:14;21010745;1000;TRA45K;PHHXF;TRA;L;1633;I;OUTBOUND;21-7-2020 01:00:00;B738;M;EHAM;LGKO;445;370;;250;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:20:13;21010746;1001;TRA40A;PHHZN;TRA;L;1109;I;OUTBOUND;21-7-2020 01:00:00;B738;M;EHAM;LEBL;451;410;;260;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:20:14;21010747;1002;TRA1527;PHHXN;TRA;L;125;I;OUTBOUND;21-7-2020 01:00:00;B738;M;EHAM;LGIR;444;370;;250;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:05:13;21010748;1003;CSN5237;B20EN;CSN;L;1868;I;INBOUND;21-7-2020 01:01:00;B77L;H;ZGGG;EHAM;483;276;260;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:20:15;21010749;1004;TRA88B;PHHZE;TRA;L;1120;I;OUTBOUND;21-7-2020 01:05:00;B738;M;EHAM;LEAL;446;370;;260;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 06:05:17;21010750;1005;IMX359;HBALQ;IMX;S;3240;I;REGIONAL;21-7-2020 01:09:01;AT72;M;EIDW;EHBK;280;190;70;;0;;OBSERVED,CONTROLLED;0
21-7-2020 02:20:13;21010751;1006;FRH502;OOACF;FRH;S;;I;TRANSIT;21-7-2020 01:12:01;B744;H;EBLG;ENGM;483;390;;;0;;CANCELLED;0
21-7-2020 05:20:14;21010752;1007;TRA652P;PHHXG;TRA;L;1124;I;OUTBOUND;21-7-2020 01:15:01;B738;M;EHAM;GCLP;446;390;;260;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:35:18;21010753;1008;TRA7X;PHHSJ;TRA;L;1641;I;OUTBOUND;21-7-2020 01:15:01;B738;M;EHAM;LGPZ;442;370;;250;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:20:14;21010754;1009;TRA90K;PHHZW;TRA;L;1108;I;OUTBOUND;21-7-2020 01:15:01;B738;M;EHAM;LEVC;449;390;;260;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:50:15;21010755;1010;TRA5313;PHHSF;TRA;L;1658;I;OUTBOUND;21-7-2020 01:25:01;B738;M;EHAM;LCLK;445;390;;250;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:35:18;21010756;1011;SIA324;9VSMI;SIA;L;512;I;INBOUND;21-7-2020 01:29:00;A359;H;WSSS;EHAM;497;360;260;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:50:16;21010757;1012;SIA7374;9VSFM;SIA;L;512;I;INBOUND;21-7-2020 01:33:14;B744;H;OMSJ;EHAM;525;300;260;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:35:17;21010758;1013;UAL70;N14001;UAL;L;3266;I;INBOUND;21-7-2020 01:33:32;B78X;H;KEWR;EHAM;487;370;250;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:20:15;21010759;1014;KLM168;PHBQE;KLM;L;3246;I;INBOUND;21-7-2020 01:35:06;B772;H;KATL;EHAM;485;370;250;;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:05:16;21010760;1015;KZR903;P4KGB;KZR;L;512;I;INBOUND;21-7-2020 01:42:13;A21N;M;UATG;EHAM;452;380;260;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:50:16;21010761;1016;KLM672;PHBHH;KLM;L;3276;I;INBOUND;21-7-2020 01:46:00;B789;H;CYUL;EHAM;487;390;250;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:50:17;21010762;1017;KLM736;PHBKG;KLM;L;3244;I;INBOUND;21-7-2020 01:48:52;B78X;H;TNCC;EHAM;487;230;230;;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:05:15;21010763;1018;TRA70H;PHHXB;TRA;L;1093;I;OUTBOUND;21-7-2020 01:50:01;B738;M;EHAM;LPPR;449;410;;260;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:50:16;21010764;1019;KLM592;PHBVP;KLM;L;2073;I;INBOUND;21-7-2020 01:50:01;B77W;H;FAOR;EHAM;492;340;220;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:35:18;21010765;1020;KLM194;PHBQO;KLM;L;3273;I;INBOUND;21-7-2020 01:50:44;B772;H;KIAH;EHAM;485;390;250;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:50:15;21010766;1021;RCH825;70048A;RCH;L;1192;I;TRANSIT;21-7-2020 01:58:59;C17;H;KBGR;ETAD;431;290;260;210;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:05:16;21010767;1022;TRA49E;PHHZV;TRA;L;1095;I;OUTBOUND;21-7-2020 02:00:01;B738;M;EHAM;LEMG;447;370;;260;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 06:20:14;21010768;1023;HNL07A;PHSHP;HNL;E;2247;I;REGIONAL;21-7-2020 02:00:01;A139;L;EHKD;EHJD;140;20;;;0;;OBSERVED,CONTROLLED;0
21-7-2020 05:50:17;21010769;1024;TRA37L;PHHSC;TRA;L;1122;I;REGIONAL;21-7-2020 02:00:01;B738;M;EHEH;LEAL;448;390;;190;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:05:16;21010770;1025;TRA6P;PHXRA;TRA;L;123;I;REGIONAL;21-7-2020 02:00:01;B737;M;EHRD;LICJ;443;410;;250;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:05:16;21010771;1026;OOEXE;OOEXE;;S;512;I;REGIONAL;21-7-2020 02:00:01;TBM8;L;EHRD;LFMV;305;310;;190;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:05:15;21010772;1027;HNL05A;PHEUE;HNL;E;2245;I;REGIONAL;21-7-2020 02:00:01;A139;L;EHKD;EHLL;140;20;;;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:05:16;21010773;1028;KLM792;PHBVF;KLM;L;512;I;INBOUND;21-7-2020 02:00:17;B77W;H;SBGR;EHAM;494;310;220;;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:05:15;21010774;1029;TRA6215;PHHXA;TRA;L;1117;I;REGIONAL;21-7-2020 02:05:00;B738;M;EHEH;GCTS;423;330;;190;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:05:17;21010775;1030;TRA85T;PHHSG;TRA;L;1125;I;OUTBOUND;21-7-2020 02:05:00;B738;M;EHAM;GCRR;448;390;;260;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 06:05:15;21010776;1031;EJU19XH;OEICB;EJU;L;3257;I;OUTBOUND;21-7-2020 02:05:00;A320;M;EHAM;EGKK;381;240;;240;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 05:50:17;21010778;1033;TRA17A;PHHXO;TRA;L;1119;I;REGIONAL;21-7-2020 02:10:00;B738;M;EHEH;LEVC;434;330;;190;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:35:15;21010779;1034;EJU84NM;OEIJV;EJU;L;96;I;OUTBOUND;21-7-2020 02:10:00;A320;M;EHAM;LGKR;440;370;;250;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 06:20:13;21010777;1032;TRA576C;PHHXE;TRA;L;1106;I;OUTBOUND;21-7-2020 02:10:00;B738;M;EHAM;LEGE;445;390;;260;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 06:20:14;21010780;1035;KLM872;PHBVB;KLM;L;512;I;INBOUND;21-7-2020 02:12:00;B77W;H;VIDP;EHAM;481;260;260;;0;LOCKED;OBSERVED,CONTROLLED;0
21-7-2020 06:35:15;21010781;1036;KLM30T;PHBXF;KLM;L;1883;I;INBOUND;21-7-2020 02:13:00;B738;M;ENZV;EHAM;460;390;260;;0;;OBSERVED,CONTROLLED;0
21-7-2020 06:20:14;21010782;1037;MPH8372;PHCKA;MPH;L;512;I;INBOUND;21-7-2020 02:14:00;B744;H;HKJK;EHAM;491;360;260;;0;LOCKED;OBSERVED,CONTROLLED;0
